ID_Actor,Nombre
1,Aaron Eckhart
2,Al Pacino
3,Alakina Mann
4,Albert Finney
5,Alfre Woodard
6,Ana de Armas
7,Andrew Garfield
8,Anil Kapoor
9,Annabelle Wallis
10,Anne Hathaway
11,Anthony Hopkins
12,Anya Taylor-Joy
13,Audrey Tautou
14,Ayelet Zurer
15,Ben Kingsley
16,Benedict Cumberbatch
17,Betty Buckley
18,Bill Skarsgård
19,Billy Crudup
20,Bob Gunton
21,Brad Pitt
22,Bradley Cooper
23,Brendan Gleeson
24,Bruce Willis
25,Carrie Fisher
26,Carrie-Anne Moss
27,Charlize Theron
28,Charlton Heston
29,Chloe Grace Moretz
30,Cho Yeo-jeong
31,Chris Evans
32,Chris Hemsworth
33,Christian Bale
34,Christoph Waltz
35,Christopher Plummer
36,Christopher Walken
37,Clive Owen
38,Connie Nielsen
39,Dakota Fanning
40,Daniel Craig
41,David Morse
42,Dean-Charles Chapman
43,Denzel Washington
44,Dev Patel
45,Domhnall Gleeson
46,Ed Harris
47,Edward Norton
48,Elijah Wood
49,Ellen Page
50,Emily Blunt
51,Emma Stone
52,Ewan McGregor
53,F. Murray Abraham
54,Felicity Jones
55,Finn Wolfhard
56,Fionnula Flanagan
57,Franka Potente
58,Freida Pinto
59,Gary Sinise
60,Geoffrey Arend
61,George Clooney
62,George MacKay
63,Harrison Ford
64,Heath Ledger
65,Helena Bonham Carter
66,Hugh Jackman
67,Ian McKellen
68,Irrfan Khan
69,J.K. Simmons
70,Jack Nicholson
71,Jaden Smith
72,Jaeden Lieberher
73,James Caan
74,James Earl Jones
75,James Marsden
76,James McAvoy
77,Jamie Foxx
78,Jared Leto
79,Javier Bardem
80,Jean Reno
81,Jeff Goldblum
82,Jennifer Connelly
83,Jennifer Jason Leigh
84,Jennifer Saunders
85,Jeremy Irons
86,Jesse Eisenberg
87,Jessica Chastain
88,Jim Carrey
89,Joaquin Phoenix
90,Jodie Foster
91,Joe Pesci
92,John Travolta
93,Jonah Hill
94,Joseph Gordon-Levitt
95,Justin Timberlake
96,Kate Winslet
97,Keanu Reeves
98,Kim Hunter
99,Kurt Russell
100,Lady Gaga
101,Laura Dern
102,Laura Linney
103,Laurence Fishburne
104,Lee Sun-kyun
105,Leonardo DiCaprio
106,Liam Neeson
107,Lili Taylor
108,Margot Robbie
109,Mark Hamill
110,Mark Strong
111,Marlon Brando
112,Marton Csokas
113,Matt Damon
114,Matthew Broderick
115,Matthew McConaughey
116,Mel Gibson
117,Melissa Benoist
118,Meryl Streep
119,Michael Clarke Duncan
120,Michael Nyqvist
121,Mila Kunis
122,Miles Teller
123,Morgan Freeman
124,Natalie Portman
125,Nicholas Hoult
126,Nicole Kidman
127,Patrick Stewart
128,Patrick Wilson
129,Rachel McAdams
130,Ralph Fiennes
131,Richard E. Grant
132,Robert De Niro
133,Robert Downey Jr.
134,Robin Wright
135,Roddy McDowall
136,Rooney Mara
137,Rory Culkin
138,Ruby Rose
139,Russell Crowe
140,Ryan Gosling
141,Sam Elliott
142,Sam Neill
143,Sam Worthington
144,Samuel L. Jackson
145,Sandra Bullock
146,Scarlett Johansson
147,Scott Glenn
148,Sigourney Weaver
149,Song Kang-ho
150,Sophie Marceau
151,Steve Carell
152,Teri Hatcher
153,Thandie Newton
154,Tilda Swinton
155,Tim Robbins
156,Tom Hanks
157,Tom Hardy
158,Tom Holland
159,Tom Sizemore
160,Tommy Lee Jones
161,Uma Thurman
162,Vera Farmiga
163,Viggo Mortensen
164,Ward Horton
165,Will Smith
166,Willem Dafoe
167,Winona Ryder
168,Woody Harrelson
169,Zazie Beetz
170,Zendaya
171,Zoe Saldana
172,Zooey Deschanel
