ID_Pelicula,ID_Actor
1,105
1,94
1,49
2,105
2,96
3,33
3,64
3,1
4,115
4,10
4,87
5,97
5,103
5,26
6,139
6,89
6,38
7,111
7,2
7,73
8,92
8,161
8,144
9,143
9,171
9,148
10,133
10,32
10,146
11,142
11,101
11,81
12,114
12,74
12,85
13,156
13,134
13,59
14,158
14,170
14,16
15,89
15,132
15,169
16,155
16,123
16,20
17,48
17,67
17,163
18,48
18,67
18,163
19,48
19,67
19,163
20,109
20,63
20,25
21,109
21,63
21,25
22,109
22,63
22,25
23,90
23,11
23,147
24,106
24,15
24,130
25,47
25,21
25,65
26,156
26,119
26,41
27,156
27,113
27,159
28,105
28,113
28,70
29,122
29,69
29,117
30,105
30,157
30,45
31,77
31,34
31,105
32,157
32,27
32,125
33,149
33,104
33,30
34,139
34,82
34,46
35,66
35,33
35,146
36,105
36,93
36,115
37,140
37,51
38,130
38,53
38,154
39,145
39,61
40,79
40,160
40,168
41,86
41,7
41,95
42,33
42,151
42,140
43,66
43,127
43,131
44,140
44,63
44,78
45,62
45,42
45,110
46,40
46,31
46,6
47,132
47,2
47,91
48,105
48,21
48,108
49,88
49,102
49,46
50,105
50,156
50,36
51,144
51,99
51,83
52,113
52,57
52,37
53,140
53,129
53,75
54,43
54,29
54,112
55,22
55,100
55,141
56,44
56,58
56,8
57,124
57,121
57,167
58,165
58,71
58,153
59,116
59,150
59,23
60,126
60,56
60,3
61,52
61,4
61,19
62,28
62,135
62,98
63,136
63,40
63,35
64,10
64,118
64,50
65,94
65,172
65,60
66,156
66,13
66,80
67,156
67,52
67,14
68,156
68,54
68,68
69,162
69,128
69,107
70,9
70,164
70,5
71,18
71,72
71,55
72,76
72,12
72,17
73,76
73,24
73,144
74,116
74,89
74,137
75,39
75,152
75,84
76,97
76,166
76,120
77,97
77,103
77,138
